Probenname;PN2;Depth;Type;Depth1;Ox_Al;Ox_Fe;Ox_Fehler_Al;Ox_Fehler_Fe;Dit_Al;Dit_Fe;Dit_Fehler_Al;Dit_Fehler_Fe;Al_Sum;Fe_Sum;Einheit;Instrument;Al_Percent;Fe_Percent;182.036;363.836;Fe Fringe;5.024700689;5xmal so viel FeO in Basin
P21;0-20;F_0-20;Fringe;10;5.03;5.87;0.0114;0.0028;0;0.078;0;0.0006;5.03;5.948;[mg/L];ICP-OES;0.000503;0.0005948;343.669;1828.167;Fe Basin;1.887917775;2xmal so viel AlO in Basin
P21;41-60;F_40-60;Fringe;50;12.4;26.3;0.0712;0.126;0.223;0.767;0.0019;0.0046;12.623;27.067;[mg/L];ICP-OES;0.0012623;0.0027067;;;;;
P21;61-80;F_60-80;Fringe;70;15.4;42.5;0.0459;0.1274;0.069;0.871;0.0011;0.0029;15.469;43.371;[mg/L];ICP-OES;0.0015469;0.0043371;;;;;
R1-Replication;0-15;F_0-20;Fringe;10;6.12;9.16;0.0571;0.0755;0;0.134;0;0.0012;6.12;9.294;[mg/L];ICP-OES;0.000612;0.0009294;;;;;
R1-Replication;16-30;F_20-40;Fringe;20;14.2;25.3;0.0421;0.049;0.029;0.501;0.0011;0.0002;14.229;25.801;[mg/L];ICP-OES;0.0014229;0.0025801;;;;;
R1-Replication;31-40;F_20-40;Fringe;40;16.1;37.5;0.028;0.053;0.087;1.09;0.0008;0.0006;16.187;38.59;[mg/L];ICP-OES;0.0016187;0.003859;;;;;
R1-Replication;41-57;F_40-60;Fringe;50;16.1;44.3;0.4117;1.661;0.279;2.29;0.0093;0.0426;16.379;46.59;[mg/L];ICP-OES;0.0016379;0.004659;;;;;
R4;0-20;F_0-20;Fringe;10;3.24;5.86;0.0244;0.0409;0;0.067;0;0.0012;3.24;5.927;[mg/L];ICP-OES;0.000324;0.0005927;;;;;
R4;21-40;F_20-40;Fringe;30;0.895;2.43;0.0032;0.0109;0;0;0;0;0.895;2.43;[mg/L];ICP-OES;0.0000895;0.000243;;;;;
R5;0-20;F_0-20;Fringe;10;3.98;8.9;0.0297;0.0636;0;0.154;0;0.0047;3.98;9.054;[mg/L];ICP-OES;0.000398;0.0009054;;;;;
R5;21-40;F_20-40;Fringe;30;12.1;12.5;0.0578;0.0267;0.032;0.234;0.0029;0.005;12.132;12.734;[mg/L];ICP-OES;0.0012132;0.0012734;;;;;
R5;41-50;F_40-60;Fringe;50;14.8;25.7;0.1242;0.6237;0.09;0.553;0.0042;0.0099;14.89;26.253;[mg/L];ICP-OES;0.001489;0.0026253;;;;;
R5;61-80;F_60-80;Fringe;70;6.88;24.7;0.0603;0.1204;0;0.537;0;0.0124;6.88;25.237;[mg/L];ICP-OES;0.000688;0.0025237;;;;;
R5;81-90;F_80-100;Fringe;90;13.9;18;0.1108;0.142;0.08;0.506;0.0058;0.016;13.98;18.506;[mg/L];ICP-OES;0.001398;0.0018506;;;;;
R6-Replication;0-20;F_0-20;Fringe;10;3.21;2.93;0.014;0.0127;0;0.05;0;0.0003;3.21;2.98;[mg/L];ICP-OES;0.000321;0.000298;;;;;
R6-Replication;21-40;F_20-40;Fringe;30;9.4;15.7;0.097;0.1425;0.023;0.395;0.0009;0.0028;9.423;16.095;[mg/L];ICP-OES;0.0009423;0.0016095
R6-Replication;41-47;F_40-60;Fringe;40;15;16.1;0.27;0.2858;0.135;0.399;0.0044;0.0071;15.135;16.499;[mg/L];ICP-OES;0.0015135;0.0016499
R6-Replication;48-54;F_40-60;Fringe;60;12.1;30.4;0.0287;0.0371;0.134;1.06;0.0061;0.0189;12.234;31.46;[mg/L];ICP-OES;0.0012234;0.003146
P16;0-20;B_0-20;Basin;10;9.79;11.8;0.0403;0.0462;0.065;0.348;0.0035;0.0084;9.855;12.148;[mg/L];ICP-OES;0.0009855;0.0012148
P16;31-50;B_20-40;Basin;30;13.9;57.5;0.3557;2.234;0.526;2.17;0.0167;0.0244;14.426;59.67;[mg/L];ICP-OES;0.0014426;0.005967
P16;51-65;B_40-60;Basin;50;15;84.7;0.3043;4.052;0.205;2.14;0.0029;0.011;15.205;86.84;[mg/L];ICP-OES;0.0015205;0.008684
P16;66-85;B_60-80;Basin;70;15.9;74.9;0.5756;2.482;0.402;1.96;0.0024;0.0079;16.302;76.86;[mg/L];ICP-OES;0.0016302;0.007686
P16;86-95;B_80-100;Basin;90;16.4;103;0.6766;2.345;0.286;2.88;0.0015;0.0041;16.686;105.88;[mg/L];ICP-OES;0.0016686;0.010588
C1;0-20;B_0-20;Basin;10;12.6;103;0.5793;4.075;0.294;4.39;0.0043;0.0244;12.894;107.39;[mg/L];ICP-OES;0.0012894;0.010739
C1;21-40;B_20-40;Basin;30;13.2;131;0.5518;4.729;0.259;5.5;0.0041;0.0354;13.459;136.5;[mg/L];ICP-OES;0.0013459;0.01365
C1;41-60;B_40-60;Basin;50;14;127;0.8797;6.994;0.318;4.7;0.0021;0.0083;14.318;131.7;[mg/L];ICP-OES;0.0014318;0.01317
C1;61-80;B_60-80;Basin;70;18.4;116;0.5336;8.75;0.312;3.28;0.002;0.0044;18.712;119.28;[mg/L];ICP-OES;0.0018712;0.011928
C1;81-85;B_80-100;Basin;90;15.7;61.6;0.3388;1.112;0.346;1.39;0.0028;0.005;16.046;62.99;[mg/L];ICP-OES;0.0016046;0.006299
C2;0-20;B_0-20;Basin;10;12.9;16.7;0.2065;0.2659;0.1;0.455;0.0017;0.002;13;17.155;[mg/L];ICP-OES;0.0013;0.0017155
C2;21-40;B_20-40;Basin;30;12.7;28;0.0604;0.1018;0.623;1.24;0.0013;0.0037;13.323;29.24;[mg/L];ICP-OES;0.0013323;0.002924
C2;41-60;B_40-60;Basin;50;15.3;88.5;0.2495;1.356;0.38;3.31;0.0039;0.0111;15.68;91.81;[mg/L];ICP-OES;0.001568;0.009181
C2;61-70;B_60-80;Basin;70;17.9;126;2.006;3.916;0.245;3.09;0.0207;0.0949;18.145;129.09;[mg/L];ICP-OES;0.0018145;0.012909
C3;0-20;B_0-20;Basin;10;15.1;11.4;0.0297;0.0236;0.059;0.196;0.0014;0.0013;15.159;11.596;[mg/L];ICP-OES;0.0015159;0.0011596
